Node_File,Total_Data_Packets,Total_Waypoints,Successful_Communications,Failed_Communications,Success_Rate,Failure_Rate,Total_Energy_Consumed,Efficiency,Total_Flight_Distance,Total_Communication_Latency,Average_Communication_Latency
data31,11989,101,69,32,68.32%,31.68%,200,59.9450,499.90000000008064,0.0,0.000000
data32,12237,101,68,33,67.33%,32.67%,200,61.1850,499.9000000000799,0.0,0.000000
data33,11904,101,68,33,67.33%,32.67%,200,59.5200,499.9000000000798,0.0,0.000000
data34,12633,101,72,29,71.29%,28.71%,200,63.1650,499.9000000000797,0.0,0.000000
data35,12310,101,70,31,69.31%,30.69%,200,61.5500,499.9000000000797,0.0,0.000000
data36,11889,101,70,31,69.31%,30.69%,200,59.4450,499.90000000008104,0.0,0.000000
data37,12639,101,72,29,71.29%,28.71%,200,63.1950,499.9000000000793,0.0,0.000000
data38,12545,101,72,29,71.29%,28.71%,200,62.7250,499.9000000000792,0.0,0.000000
data39,12206,101,70,31,69.31%,30.69%,200,61.0300,499.9000000000796,0.0,0.000000
data40,10841,101,62,39,61.39%,38.61%,200,54.2050,499.9000000000804,0.0,0.000000
data41,12197,101,68,33,67.33%,32.67%,200,60.9850,499.9000000000795,0.0,0.000000
data42,12456,101,70,31,69.31%,30.69%,200,62.2800,499.9000000000797,0.0,0.000000
data43,10781,101,61,40,60.40%,39.60%,200,53.9050,499.90000000008035,0.0,0.000000
data44,12281,101,70,31,69.31%,30.69%,200,61.4050,499.9000000000795,0.0,0.000000
data45,12358,101,70,31,69.31%,30.69%,200,61.7900,499.9000000000796,0.0,0.000000
data46,11950,101,68,33,67.33%,32.67%,200,59.7500,499.9000000000798,0.0,0.000000
data47,12480,101,70,31,69.31%,30.69%,200,62.4000,499.90000000007933,0.0,0.000000
data48,11758,101,67,34,66.34%,33.66%,200,58.7900,499.9000000000794,0.0,0.000000
data49,12382,101,71,30,70.30%,29.70%,200,61.9100,499.9000000000803,0.0,0.000000
data50,11914,101,67,34,66.34%,33.66%,200,59.5700,499.9000000000792,0.0,0.000000
