Success_Nodes,Fail_Nodes,Skipped_Nodes,Data_Collected_KB,Total_Time,Total_Energy,Total_Flight_Distance,Total_Comm_Latency,Attempts,Retry_Sum,Total_Waypoints,Success_Rate,Avg_Comm_Latency,Eff_Data_Per_Time,Eff_Data_Per_Energy,Avg_Retry_Per_Node,Strategy,Node_File,Num_Nodes
49,1,0,3013.4410028791117,2186.320033443982,2623.8185612833563,5.863028764467194,2186.0268820057586,218,168,50,0.98,10.027646247732838,1.3783165121220677,1.148494429967438,0.7706422018348624,baseline,data1001,50
44,6,1,2611.012716494703,1005.5151768712126,1206.8527333960344,5.863028764467194,1005.2220254329892,100,50,50,0.88,10.052220254329892,2.5966915035725258,2.163489085488848,0.5,lya,data1001,50
49,1,0,3013.4410028791117,2186.308563880439,2623.795622156272,5.633637493624819,2186.0268820057586,218,168,50,0.98,10.027646247732838,1.3783237428895263,1.1485044709399368,0.7706422018348624,baseline,data1002,50
44,6,1,2611.012716494703,1005.5037073076704,1206.82979426895,5.633637493624819,1005.2220254329892,100,50,50,0.88,10.052220254329892,2.596721123471471,2.163530208562966,0.5,lya,data1002,50
49,1,0,3013.4410028791117,2186.29711427429,2623.772722943972,5.404645370623238,2186.0268820057586,218,168,50,0.98,10.027646247732838,1.3783309611508956,1.1485144946159502,0.7706422018348624,baseline,data1003,50
44,6,1,2611.012716494703,1005.4922577015204,1206.8068950566499,5.404645370623238,1005.2220254329892,100,50,50,0.88,10.052220254329892,2.5967506925048647,2.1635712616409415,0.5,lya,data1003,50
49,1,0,3013.4410028791117,2186.302209922515,2623.782914240424,5.5065583351420795,2186.0268820057586,218,168,50,0.98,10.027646247732838,1.3783277486537011,1.1485100335564509,0.7706422018348624,baseline,data1004,50
44,6,1,2611.012716494703,1005.4973533497464,1206.817086353101,5.5065583351420795,1005.2220254329892,100,50,50,0.88,10.052220254329892,2.596737532720788,2.16355299077258,0.5,lya,data1004,50
49,1,0,3013.4410028791117,2186.297836161673,2623.7741667187393,5.419083118300426,2186.0268820057586,218,168,50,0.98,10.027646247732838,1.3783305060437672,1.148513862627013,0.7706422018348624,baseline,data1005,50
44,6,1,2611.012716494703,1005.4929795889044,1206.8083388314178,5.419083118300426,1005.2220254329892,100,50,50,0.88,10.052220254329892,2.596748828183977,2.1635686732352304,0.5,lya,data1005,50
49,1,0,3013.4410028791117,2186.324402821881,2623.827300039155,5.950416322450355,2186.0268820057586,218,168,50,0.98,10.027646247732838,1.3783137575511093,1.1484906048634156,0.7706422018348624,baseline,data1006,50
44,6,1,2611.012716494703,1005.5195462491116,1206.8614721518322,5.950416322450355,1005.2220254329892,100,50,50,0.88,10.052220254329892,2.5966802199266645,2.163473419894059,0.5,lya,data1006,50
49,1,0,3013.4410028791117,2186.3102000278445,2623.798894451083,5.666360441735921,2186.0268820057586,218,168,50,0.98,10.027646247732838,1.3783227114069783,1.1485030385720718,0.7706422018348624,baseline,data1007,50
44,6,1,2611.012716494703,1005.5053434550761,1206.833066563761,5.666360441735921,1005.2220254329892,100,50,50,0.88,10.052220254329892,2.5967168981149804,2.163524342210054,0.5,lya,data1007,50
49,1,0,3013.4410028791117,2186.2932060436974,2623.7649064827874,5.32648075878302,2186.0268820057586,218,168,50,0.98,10.027646247732838,1.3783334250634276,1.1485179161568608,0.7706422018348624,baseline,data1008,50
44,6,1,2611.012716494703,1005.4883494709283,1206.7990785954657,5.32648075878302,1005.2220254329892,100,50,50,0.88,10.052220254329892,2.5967607858097765,2.1635852751342277,0.5,lya,data1008,50
49,1,0,3013.4410028791117,2186.3065921236675,2623.7916786427277,5.594202358189806,2186.0268820057586,218,168,50,0.98,10.027646247732838,1.3783249859535975,1.1485061971223063,0.7706422018348624,baseline,data1009,50
44,6,1,2611.012716494703,1005.5017355508986,1206.8258507554065,5.594202358189806,1005.2220254329892,100,50,50,0.88,10.052220254329892,2.596726215558614,2.1635372782745357,0.5,lya,data1009,50
49,1,0,3013.4410028791117,2186.3306593867405,2623.8398131688746,6.075547619648671,2186.0268820057586,218,168,50,0.98,10.027646247732838,1.3783098132669342,1.1484851276952408,0.7706422018348624,baseline,data1010,50
44,6,1,2611.012716494703,1005.5258028139718,1206.8739852815522,6.075547619648671,1005.2220254329892,100,50,50,0.88,10.052220254329892,2.5966640629089413,2.1634509885351276,0.5,lya,data1010,50
49,1,0,3013.4410028791117,2186.3136533950055,2623.805801185405,5.735427784948054,2186.0268820057586,218,168,50,0.98,10.027646247732838,1.3783205342928293,1.1485000153279918,0.7706422018348624,baseline,data1011,50
44,6,1,2611.012716494703,1005.5087968222365,1206.8399732980818,5.735427784948054,1005.2220254329892,100,50,50,0.88,10.052220254329892,2.596707979827155,2.163511960379688,0.5,lya,data1011,50
49,1,0,3013.4410028791117,2186.286608665861,2623.7517117271136,5.194533202041687,2186.0268820057586,218,168,50,0.98,10.027646247732838,1.3783375843471894,1.1485236920133273,0.7706422018348624,baseline,data1012,50
44,6,1,2611.012716494703,1005.4817520930914,1206.7858838397915,5.194533202041687,1005.2220254329892,100,50,50,0.88,10.052220254329892,2.596777824221484,2.163608931343227,0.5,lya,data1012,50
49,1,0,3013.4410028791117,2186.314337888595,2623.8071701725817,5.749117656717054,2186.0268820057586,218,168,50,0.98,10.027646247732838,1.3783201027667884,1.1484994160911992,0.7706422018348624,baseline,data1013,50
44,6,1,2611.012716494703,1005.5094813158249,1206.8413422852586,5.749117656717054,1005.2220254329892,100,50,50,0.88,10.052220254329892,2.596706212136252,2.163509506187884,0.5,lya,data1013,50
