scale,V,seed,strategy,total_time,energy,success_nodes,fail_nodes,skipped_nodes,collected_value
50,100.0,1000,Baseline,1983.143394550221,1190.2964487436402,50,0,0,70.0
50,100.0,1000,Lyapunov,610.33051724785,366.60872236222303,34,16,10,50.0
50,100.0,1001,Baseline,1361.4860902839641,817.3020661838896,50,0,0,70.0
50,100.0,1001,Lyapunov,569.5948317152452,342.16731104266006,30,20,13,42.0
50,100.0,1002,Baseline,1759.3701486129307,1056.032501181269,50,0,0,70.0
50,100.0,1002,Lyapunov,519.9508535064492,312.3809241173825,27,23,17,39.0
50,100.0,1003,Baseline,1900.5352468841597,1140.7315601440043,50,0,0,70.0
50,100.0,1003,Lyapunov,587.8110346934436,353.09703282957906,36,14,6,56.0
50,100.0,1004,Baseline,1899.0437229374227,1139.8366457759632,50,0,0,70.0
50,100.0,1004,Lyapunov,537.3712941630358,322.83318851133436,33,17,12,41.0
50,500.0,1000,Baseline,1983.143394550221,1190.2964487436402,50,0,0,70.0
50,500.0,1000,Lyapunov,610.33051724785,366.60872236222303,34,16,10,50.0
50,500.0,1001,Baseline,1361.4860902839641,817.3020661838896,50,0,0,70.0
50,500.0,1001,Lyapunov,569.5948317152452,342.16731104266006,30,20,13,42.0
50,500.0,1002,Baseline,1759.3701486129307,1056.032501181269,50,0,0,70.0
50,500.0,1002,Lyapunov,519.9508535064492,312.3809241173825,27,23,17,39.0
50,500.0,1003,Baseline,1900.5352468841597,1140.7315601440043,50,0,0,70.0
50,500.0,1003,Lyapunov,587.8110346934436,353.09703282957906,36,14,6,56.0
50,500.0,1004,Baseline,1899.0437229374227,1139.8366457759632,50,0,0,70.0
50,500.0,1004,Lyapunov,537.3712941630358,322.83318851133436,33,17,12,41.0
50,1000.0,1000,Baseline,1983.143394550221,1190.2964487436402,50,0,0,70.0
50,1000.0,1000,Lyapunov,610.33051724785,366.60872236222303,34,16,10,50.0
50,1000.0,1001,Baseline,1361.4860902839641,817.3020661838896,50,0,0,70.0
50,1000.0,1001,Lyapunov,569.5948317152452,342.16731104266006,30,20,13,42.0
50,1000.0,1002,Baseline,1759.3701486129307,1056.032501181269,50,0,0,70.0
50,1000.0,1002,Lyapunov,519.9508535064492,312.3809241173825,27,23,17,39.0
50,1000.0,1003,Baseline,1900.5352468841597,1140.7315601440043,50,0,0,70.0
50,1000.0,1003,Lyapunov,587.8110346934436,353.09703282957906,36,14,6,56.0
50,1000.0,1004,Baseline,1899.0437229374227,1139.8366457759632,50,0,0,70.0
50,1000.0,1004,Lyapunov,537.3712941630358,322.83318851133436,33,17,12,41.0
50,5000.0,1000,Baseline,1983.143394550221,1190.2964487436402,50,0,0,70.0
50,5000.0,1000,Lyapunov,610.33051724785,366.60872236222303,34,16,10,50.0
50,5000.0,1001,Baseline,1361.4860902839641,817.3020661838896,50,0,0,70.0
50,5000.0,1001,Lyapunov,569.5948317152452,342.16731104266006,30,20,13,42.0
50,5000.0,1002,Baseline,1759.3701486129307,1056.032501181269,50,0,0,70.0
50,5000.0,1002,Lyapunov,519.9508535064492,312.3809241173825,27,23,17,39.0
50,5000.0,1003,Baseline,1900.5352468841597,1140.7315601440043,50,0,0,70.0
50,5000.0,1003,Lyapunov,587.8110346934436,353.09703282957906,36,14,6,56.0
50,5000.0,1004,Baseline,1899.0437229374227,1139.8366457759632,50,0,0,70.0
50,5000.0,1004,Lyapunov,537.3712941630358,322.83318851133436,33,17,12,41.0
50,10000.0,1000,Baseline,1983.143394550221,1190.2964487436402,50,0,0,70.0
50,10000.0,1000,Lyapunov,610.33051724785,366.60872236222303,34,16,10,50.0
50,10000.0,1001,Baseline,1361.4860902839641,817.3020661838896,50,0,0,70.0
50,10000.0,1001,Lyapunov,569.5948317152452,342.16731104266006,30,20,13,42.0
50,10000.0,1002,Baseline,1759.3701486129307,1056.032501181269,50,0,0,70.0
50,10000.0,1002,Lyapunov,519.9508535064492,312.3809241173825,27,23,17,39.0
50,10000.0,1003,Baseline,1900.5352468841597,1140.7315601440043,50,0,0,70.0
50,10000.0,1003,Lyapunov,587.8110346934436,353.09703282957906,36,14,6,56.0
50,10000.0,1004,Baseline,1899.0437229374227,1139.8366457759632,50,0,0,70.0
50,10000.0,1004,Lyapunov,537.3712941630358,322.83318851133436,33,17,12,41.0
50,50000.0,1000,Baseline,1983.143394550221,1190.2964487436402,50,0,0,70.0
50,50000.0,1000,Lyapunov,610.33051724785,366.60872236222303,34,16,10,50.0
50,50000.0,1001,Baseline,1361.4860902839641,817.3020661838896,50,0,0,70.0
50,50000.0,1001,Lyapunov,569.5948317152452,342.16731104266006,30,20,13,42.0
50,50000.0,1002,Baseline,1759.3701486129307,1056.032501181269,50,0,0,70.0
50,50000.0,1002,Lyapunov,519.9508535064492,312.3809241173825,27,23,17,39.0
50,50000.0,1003,Baseline,1900.5352468841597,1140.7315601440043,50,0,0,70.0
50,50000.0,1003,Lyapunov,587.8110346934436,353.09703282957906,36,14,6,56.0
50,50000.0,1004,Baseline,1899.0437229374227,1139.8366457759632,50,0,0,70.0
50,50000.0,1004,Lyapunov,537.3712941630358,322.83318851133436,33,17,12,41.0
50,100000.0,1000,Baseline,1983.143394550221,1190.2964487436402,50,0,0,70.0
50,100000.0,1000,Lyapunov,610.33051724785,366.60872236222303,34,16,10,50.0
50,100000.0,1001,Baseline,1361.4860902839641,817.3020661838896,50,0,0,70.0
50,100000.0,1001,Lyapunov,569.5948317152452,342.16731104266006,30,20,13,42.0
50,100000.0,1002,Baseline,1759.3701486129307,1056.032501181269,50,0,0,70.0
50,100000.0,1002,Lyapunov,519.9508535064492,312.3809241173825,27,23,17,39.0
50,100000.0,1003,Baseline,1900.5352468841597,1140.7315601440043,50,0,0,70.0
