load_scale,strategy,total_time_mean,total_time_std,skipped_mean,skipped_std
0.6,Baseline,3864.9350277781095,302.31609556374804,0.0,0.0
0.6,Lyapunov,1135.248634196533,41.11371146977234,19.0,0.8944271909999159
0.8,Baseline,3878.4582406803283,302.2231194575647,0.0,0.0
0.8,Lyapunov,1140.7430492382257,41.02647445411805,19.0,0.8944271909999159
1.0,Baseline,3891.981453582547,302.13219861809404,0.0,0.0
1.0,Lyapunov,1146.2374642799184,40.96673728733963,19.0,0.8944271909999159
1.2,Baseline,3905.504666484765,302.04333490136224,0.0,0.0
1.2,Lyapunov,1151.7318793216114,40.93462036377206,19.0,0.8944271909999159
1.4,Baseline,3919.0278793869825,301.9565301235597,0.0,0.0
1.4,Lyapunov,1157.2262943633036,40.93018870226655,19.0,0.8944271909999159
