scale,seed,strategy,total_time,energy,success_nodes,fail_nodes,skipped_nodes,collected_value
50,3000,Baseline,1552.9614135249237,932.1872601284647,50,0,0,70.0
50,3000,Lyapunov,674.4523833530494,405.08184202534267,33,17,6,45.0
50,3001,Baseline,2445.3842469970728,1467.6409602117499,50,0,0,70.0
50,3001,Lyapunov,432.5737428141565,259.95465770200667,27,23,22,27.0
50,3002,Baseline,1725.012013561077,1035.417620150156,50,0,0,70.0
50,3002,Lyapunov,640.1249673735047,384.48539243761564,31,19,9,43.0
50,3003,Baseline,1286.2271205912757,772.1466843682772,50,0,0,70.0
50,3003,Lyapunov,536.9395720772629,322.57415525987057,29,21,15,49.0
50,3004,Baseline,1983.4905736470569,1190.5047562017432,50,0,0,70.0
50,3004,Lyapunov,586.0950337806522,352.06743228190425,32,18,9,48.0
100,3000,Baseline,3602.8313184937715,2162.210335796292,100,0,0,140.0
100,3000,Lyapunov,961.0356387080537,577.1329279248703,59,41,34,83.0
100,3001,Baseline,4328.829601850392,2597.809305810273,100,0,0,140.0
100,3001,Lyapunov,1057.2290435760367,634.8489708456597,60,40,31,76.0
100,3002,Baseline,4467.531577061175,2681.0304909367505,100,0,0,140.0
100,3002,Lyapunov,937.8412945844701,563.2163214507195,57,43,37,81.0
100,3003,Baseline,4451.853293886165,2671.623521031745,100,0,0,140.0
100,3003,Lyapunov,1197.6895942887365,719.1253012732789,71,29,12,99.0
100,3004,Baseline,4208.142448603486,2525.3970138621335,100,0,0,140.0
100,3004,Lyapunov,1100.527218457046,660.8278757742651,68,32,19,96.0
150,3000,Baseline,4994.686912512981,2997.475587693854,148,2,0,208.0
150,3000,Lyapunov,1685.077905377324,1011.7101834124423,92,58,40,136.0
150,3001,Baseline,4996.390426408133,2998.497696030945,123,27,0,175.0
150,3001,Lyapunov,1785.0123024984246,1071.6708216851016,103,47,22,135.0
150,3002,Baseline,4992.345642615573,2996.070825755412,107,43,0,143.0
150,3002,Lyapunov,1597.605527535085,959.226756707099,97,53,39,137.0
150,3003,Baseline,4994.129290762824,2997.141014643765,119,31,0,167.0
150,3003,Lyapunov,1656.8143974058246,994.7520786295414,94,56,40,126.0
150,3004,Baseline,4996.036919397913,2998.285591824815,131,19,0,187.0
150,3004,Lyapunov,1824.729434298939,1095.50110076541,101,49,25,145.0
200,3000,Baseline,4991.642936685006,2995.75893096243,164,36,0,240.0
200,3000,Lyapunov,2079.848395656731,1248.6822063454474,126,74,60,174.0
200,3001,Baseline,4997.289840356204,2999.1470731651502,142,58,0,206.0
200,3001,Lyapunov,2190.334620582284,1314.973941300778,132,68,43,188.0
200,3002,Baseline,4994.392917843148,2997.408919657322,112,88,0,144.0
200,3002,Lyapunov,2138.3303402155175,1283.7713730807184,119,81,58,175.0
200,3003,Baseline,4992.19377007122,2996.0894309941655,111,89,0,151.0
200,3003,Lyapunov,2165.3107622384,1299.9596262944478,122,78,54,174.0
200,3004,Baseline,4996.340933311689,2998.577728938439,126,74,0,166.0
200,3004,Lyapunov,2224.9123720072675,1335.720592155769,131,69,43,179.0
